0;KM TRANSPORTES RODOVIARIOS DE ;CTRCs EXPEDIDOS;PERIODO DE EMISSAO: 06/04/26 A 06/04/26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Serie/Numero CTRC;Tipo do Documento;Data de Emissao;Hora de Emissao;Data de Autorizacao;Hora de Autorizacao;Login;Placa de Coleta;Cliente Remetente;Cliente Expedidor;Cliente Pagador;Cidade do Destinatario;UF do Destinatario;Local de Entrega;UF de Entrega;Unidade Receptora;Numero da Nota Fiscal;Peso Real em Kg;Cubagem em m3;Quantidade de Volumes;Valor da Mercadoria;Valor do Frete;Peso Calculado em Kg;Frete Peso;Frete Valor;Codigo da Ultima Ocorrencia;Data de inclusao da Ultima Ocorrencia;Data da Ultima Ocorrencia;Usuario da Ultima Ocorrencia;Unidade da Ultima Ocorrencia;Descricao da Ultima Ocorrencia;Latitude da Ultima Ocorrencia;Longitude da Ultima Ocorrencia;Previsao de Entrega;Entrega Programada;Data da Entrega Realizada;Quantidade de Dias de Atraso;Localizacao Atual;Data do Cancelamento;Motivo do Cancelamento;Codigo dos Correios;Notas Fiscais;Numero dos Pedidos;Chaves NF-es;Capa de Canhoto de NF;Volumes;Volume Cliente/Shipment;Observacao;Distancia em Km;Conferente de Coleta;Complemento
2;CGN190439-6;NORMAL;06/04/2026;08:21;06/04/2026;08:28;vfsilva ;LOGPIN1;PINDUCA INDUSTRIA ALIMENTICIA LTDA;PINDUCA INDUSTRIA ALIMENTICIA LTDA;PINDUCA INDUSTRIA ALIMENTICIA LTDA;CAMPO GRANDE;MS;;MS;CGR;401283;204,26;0;31;1933,17;174,71;204,26;112,34;21,26;8;07/04/2026;07/04/2026;lvsouza;KMT - CGR;MERC CONFERIDA E SEPARADA - SETOR MERCADO NF OK;;;08/04/2026;;;0;KMT CGR-RPS emitida com 31 volumes e 204 Kg. Destino: MS/CAMPO GRANDE. Previsao de entrega: 08/04/26;;;;3/401283 ;;41260375875773000200550030004012831717195013 ;;254251464569-254251464601 ;;;3;CONFEREN;0
2;CGN190440-0;NORMAL;06/04/2026;08:21;06/04/2026;08:28;vfsilva ;LOGPIN1;PINDUCA INDUSTRIA ALIMENTICIA LTDA;PINDUCA INDUSTRIA ALIMENTICIA LTDA;PINDUCA INDUSTRIA ALIMENTICIA LTDA;CAMPO GRANDE;MS;;MS;CGR;401284;634,9;0;79;5448,48;487,95;634,9;349,2;59,93;8;07/04/2026;07/04/2026;lvsouza;KMT - CGR;MERC CONFERIDA E SEPARADA - SETOR MERCADO NF OK;;;10/04/2026;;;0;KMT CGR-RPS emitida com 79 volumes e 635 Kg. Destino: MS/CAMPO GRANDE. Previsao de entrega: 10/04/26;;;;3/401284 ;;41260375875773000200550030004012841281946332 ;;254251464602-254251464682 ;;;3;CONFEREN;0
2;CGN190441-8;NORMAL;06/04/2026;08:22;06/04/2026;08:28;vfsilva ;LOGPIN1;PINDUCA INDUSTRIA ALIMENTICIA LTDA;PINDUCA INDUSTRIA ALIMENTICIA LTDA;PINDUCA INDUSTRIA ALIMENTICIA LTDA;CAMPO GRANDE;MS;;MS;CGR;401285;372,6;0;45;3307,89;297,17;372,6;204,93;36,39;8;07/04/2026;07/04/2026;lvsouza;KMT - CGR;MERC CONFERIDA E SEPARADA - SETOR MERCADO NF OK;;;10/04/2026;;;0;KMT CGR-RPS emitida com 45 volumes e 373 Kg. Destino: MS/CAMPO GRANDE. Previsao de entrega: 10/04/26;;;;3/401285 ;;41260375875773000200550030004012851794898621 ;;254251464683-254251464729 ;;;3;CONFEREN;0
2;CGN190442-6;NORMAL;06/04/2026;08:22;06/04/2026;08:28;vfsilva ;LOGPIN1;PINDUCA INDUSTRIA ALIMENTICIA LTDA;PINDUCA INDUSTRIA ALIMENTICIA LTDA;PINDUCA INDUSTRIA ALIMENTICIA LTDA;CAMPO GRANDE;MS;;MS;CGR;401286;285,14;0;35;1997;226,09;285,14;156,83;21,97;8;07/04/2026;07/04/2026;lvsouza;KMT - CGR;MERC CONFERIDA E SEPARADA - SETOR MERCADO NF OK;;;10/04/2026;;;0;KMT CGR-RPS emitida com 35 volumes e 285 Kg. Destino: MS/CAMPO GRANDE. Previsao de entrega: 10/04/26;;;;3/401286 ;;41260375875773000200550030004012861984041915 ;;254251464730-254251464766 ;;;3;CONFEREN;0
2;CGN190443-4;NORMAL;06/04/2026;08:22;06/04/2026;08:28;vfsilva ;LOGPIN1;PINDUCA INDUSTRIA ALIMENTICIA LTDA;PINDUCA INDUSTRIA ALIMENTICIA LTDA;PINDUCA INDUSTRIA ALIMENTICIA LTDA;CAMPO GRANDE;MS;;MS;CGR;401287;168,41;0;19;1249,63;143,77;168,41;92,63;13,75;8;07/04/2026;07/04/2026;lvsouza;KMT - CGR;MERC CONFERIDA E SEPARADA - SETOR MERCADO NF OK;;;10/04/2026;;;0;KMT CGR-RPS emitida com 19 volumes e 168 Kg. Destino: MS/CAMPO GRANDE. Previsao de entrega: 10/04/26;;;;3/401287 ;;41260375875773000200550030004012871291085129 ;;254251464767-254251464787 ;;;3;CONFEREN;0
2;CGN190444-2;NORMAL;06/04/2026;08:24;06/04/2026;08:28;vfsilva ;LOGPIN1;PINDUCA INDUSTRIA ALIMENTICIA LTDA;PINDUCA INDUSTRIA ALIMENTICIA LTDA;PINDUCA INDUSTRIA ALIMENTICIA LTDA;CAMPO GRANDE;MS;;MS;CGR;401288;134;0;17;1084,9;120,18;134;73,7;11,93;8;07/04/2026;07/04/2026;lvsouza;KMT - CGR;MERC CONFERIDA E SEPARADA - SETOR MERCADO NF OK;;;10/04/2026;;;0;KMT CGR-RPS emitida com 17 volumes e 134 Kg. Destino: MS/CAMPO GRANDE. Previsao de entrega: 10/04/26;;;;3/401288 ;;41260375875773000200550030004012881701535088 ;;254251464788-254251464806 ;;;3;CONFEREN;0
2;CGN190445-1;NORMAL;06/04/2026;08:25;06/04/2026;08:28;vfsilva ;LOGPIN1;PINDUCA INDUSTRIA ALIMENTICIA LTDA;PINDUCA INDUSTRIA ALIMENTICIA LTDA;PINDUCA INDUSTRIA ALIMENTICIA LTDA;CAMPO GRANDE;MS;;MS;CGR;401291;292,43;0;35;2461,64;236,46;292,43;160,84;27,08;85;07/04/2026;07/04/2026;tcardoso;KMT - CGR;Saida para entrega na cidade de CAMPO GRANDE.;;;10/04/2026;;;0;KMT CGR - EM ENTREGA;;;;3/401291 ;;41260375875773000200550030004012911805284044 ;;254251464866-254251464902 ;;;3;CONFEREN;0
2;CGN190446-9;NORMAL;06/04/2026;09:54;06/04/2026;09:54;vsmateus;LOGWIL1;ALIMENTOS WILSON LTDA EM RECUP;ALIMENTOS WILSON LTDA EM RECUP;ALIMENTOS WILSON LTDA EM RECUP;CAMPO GRANDE;MS;;MS;CGR;226761;8676,487;0;16;74072,66;4810,43;8676,487;3470,59;740,73;15;07/04/2026;07/04/2026;gabriass;KMT - CGR;ENTREGA AGENDADA P/ 14/04/26 08:00 - CONTATO ATACADAO DIST, FONE 2968314.;;;14/04/2026;14/04/2026;;0;KMT CGR-RPS emitida com 861 volumes e 8676 Kg. Destino: MS/CAMPO GRANDE. Previsao de entrega: 14/04/26;;;;1/226761 ;;35260455323216000341550010002267611679595775 ;;254251472262-254251472279 ;;;3;CONFEREN;0
2;CGN190447-7;NORMAL;06/04/2026;09:54;06/04/2026;09:54;vsmateus;LOGWIL1;ALIMENTOS WILSON LTDA EM RECUP;ALIMENTOS WILSON LTDA EM RECUP;ALIMENTOS WILSON LTDA EM RECUP;CAMPO GRANDE;MS;;MS;CGR;226762;6704,025;0;13;61572,51;3771,38;6704,025;2681,61;615,73;16;06/04/2026;06/04/2026;wmendonc;KMT - CGR;MERCAD RETIDA ATEH SEGUNDA ORDEM;;;14/04/2026;;;0;KMT CGR-RPS emitida com 677 volumes e 6704 Kg. Destino: MS/CAMPO GRANDE. Previsao de entrega: 14/04/26;;;;1/226762 ;;35260455323216000341550010002267621474859581 ;;254251472915-254251472929 ;;;3;CONFEREN;0
2;CGN190448-5;NORMAL;06/04/2026;09:54;06/04/2026;09:54;vsmateus;LOGWIL1;ALIMENTOS WILSON LTDA EM RECUP;ALIMENTOS WILSON LTDA EM RECUP;ALIMENTOS WILSON LTDA EM RECUP;CAMPO GRANDE;MS;;MS;CGR;226763;1039,865;0;2;7214,61;577,72;1039,865;415,95;72,15;35;06/04/2026;06/04/2026;gabriass;KMT - CGR;SOLICITADO AGENDAMENTO PARA WILSON VIA E-MAIL;;;14/04/2026;;;0;KMT CGR-RPS emitida com 97 volumes e 1040 Kg. Destino: MS/CAMPO GRANDE. Previsao de entrega: 14/04/26;;;;1/226763 ;;35260455323216000341550010002267631524369628 ;;254251472280-254251472283 ;;;3;CONFEREN;0
2;CGN190449-3;NORMAL;06/04/2026;10:17;06/04/2026;10:17;rmasseli;ARMAPCS;WB COMPONENTES AUTOMOTIVOS LTDA;WB COMPONENTES AUTOMOTIVOS LTDA;WB COMPONENTES AUTOMOTIVOS LTDA;CAMPO GRANDE;MS;;MS;CGR;34488;9,889;0;1;1113,76;59,15;9,889;33,55;0;1;07/04/2026;07/04/2026;silvluib;KMT - CGR;CTRC ENTREGUE (SSWMOBILE). CO2 emitido para transportar esta mercadoria: 1,0g.;-20,49589917;-54,5767006;08/04/2026;;07/04/2026;0;CTRC ENTREGUE/BAIXADO;;;;1/34488 ;;50260408528393000546550010000344881239194132 ;;254251467280-254251467282 ;;;2;CONFEREN;0
